sample_name	description			host_age	role	altitude	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	country	depth	elevation	env_biome	env_feature	env_matter	host_common_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	sex
1064.G.CV210	"Sample 1064.G.CV210 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV210	7460	FALSE	18.22	-65.99	female
1064.G.CV211	"Sample 1064.G.CV211 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV211	7460	FALSE	18.22	-65.99	female
1064.G.CV212	"Sample 1064.G.CV212 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV212	7460	FALSE	18.22	-65.99	female
1064.G.CV213	"Sample 1064.G.CV213 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV213	7460	FALSE	18.22	-65.99	female
1064.G.CV214	"Sample 1064.G.CV214 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV214	7460	FALSE	18.22	-65.99	female
1064.G.CV233	"Sample 1064.G.CV233 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV233	7460	FALSE	18.22	-65.99	female
1064.G.CV234	"Sample 1064.G.CV234 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV234	7460	FALSE	18.22	-65.99	female
1064.G.CV235	"Sample 1064.G.CV235 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV235	7460	FALSE	18.22	-65.99	female
1064.G.CV236	"Sample 1064.G.CV236 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV236	7460	FALSE	18.22	-65.99	female
1064.G.CV237	"Sample 1064.G.CV237 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV237	7460	FALSE	18.22	-65.99	female
1064.G.CV238	"Sample 1064.G.CV238 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV238	7460	FALSE	18.22	-65.99	female
1064.G.CV239	"Sample 1064.G.CV239 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	12/18/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV239	7460	FALSE	18.22	-65.99	female
1064.G.CV240	"Sample 1064.G.CV240 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	12/18/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV240	7460	FALSE	18.22	-65.99	female
1064.G.CV241	"Sample 1064.G.CV241 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	12/18/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV241	7460	FALSE	18.22	-65.99	female
1064.G.CV242	"Sample 1064.G.CV242 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	06/13/2008	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV242	7460	FALSE	18.22	-65.99	female
1064.G.CV243	"Sample 1064.G.CV243 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	06/13/2008	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV243	7460	FALSE	18.22	-65.99	female
1064.G.CV244	"Sample 1064.G.CV244 : Whole intestine tissue, with food content."			1 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	06/13/2008	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV244	7460	FALSE	18.22	-65.99	female
1064.G.CV25	"Sample 1064.G.CV25 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV25	7460	FALSE	18.22	-65.99	female
1064.G.CV26	"Sample 1064.G.CV26 : Whole intestine tissue, with food content."			7 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	01/01/2050	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV26	7460	FALSE	18.22	-65.99	female
1064.G.CV263	"Sample 1064.G.CV263 : Whole intestine tissue, with food content."			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV263	7460	FALSE	18.22	-65.99	female
1064.G.CV264	"Sample 1064.G.CV264 : Whole intestine tissue, with food content."			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV264	7460	FALSE	18.22	-65.99	female
1064.G.CV265	"Sample 1064.G.CV265 : Whole intestine tissue, with food content."			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV265	7460	FALSE	18.22	-65.99	female
1064.G.CV266	"Sample 1064.G.CV266 : Whole intestine tissue, with food content."			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	FALSE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV266	7460	FALSE	18.22	-65.99	female
1064.G.CV267	"Sample 1064.G.CV267 : Whole intestine tissue, with food content."			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV267	7460	TRUE	18.22	-65.99	female
1064.G.CV268	"Sample 1064.G.CV268 : Whole intestine tissue, with food content."			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	07/11/2011	TRUE	GAZ:Puerto Rico	0	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	G-CV268	7460	TRUE	18.22	-65.99	female
