sample_name	description	source_mt_override	sample_mt_override	age	age_group	altitude	body_habitat	body_product	body_site	collection_timestamp	country	elevation	env_biome	env_feature	env_matter	host_common_name	sex	host_taxid	latitude	longitude
1064.G.CV285	Whole intestine tissue, with food content.			8 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV286	Whole intestine tissue, with food content.			8 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV287	Whole intestine tissue, with food content.			9 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV288	Whole intestine tissue, with food content.			9 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV289	Whole intestine tissue, with food content.			9 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV290	Whole intestine tissue, with food content.			9 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV291	Whole intestine tissue, with food content.			9 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV292	Whole intestine tissue, with food content.			9 days	nurse	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV293	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV294	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	6/13/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV295	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/25/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV296	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/23/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV297	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/24/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV298	Whole intestine tissue, with food content.			13 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	10/23/2008 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV299	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV300	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/16/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV301	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
1064.G.CV302	Whole intestine tissue, with food content.			12 days	worker	0	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	7/11/2011 0:00	GAZ:Puerto Rico	43.1	ENVO:village biome	insecta-associated habitat	ENVO:organic material	honey bee	female	7460	18.22	-65.99
