sample_name	description			host_age	role	altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	common_name	country	depth	dna_extracted	elevation	env_biome	env_feature	env_matter	host_common_name	host_scientific_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	physical_specimen_location	physical_specimen_remaining	public	required_sample_info_status	sample_name_in_tube	sample_type	sex	taxon_id	title	village
1064.G.CV04	Sample 1064.G.CV04 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV04	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV04	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	36	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV05	Sample 1064.G.CV05 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV05	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV05	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	38	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV06	Sample 1064.G.CV06 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV06	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV06	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	40	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV10	Sample 1064.G.CV10 : Whole intestine tissue, with food content.			4 days	nurse	0	G.CV10	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV10	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	42	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV108	Sample 1064.G.CV108 : Whole intestine tissue, with food content.				queen	0	G.CV108	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	True	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV108	7460	True	18.22	-65.99	XXQIITAXX	True	True	completed	4	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV11	Sample 1064.G.CV11 : Whole intestine tissue, with food content.			4 days	nurse	0	G.CV11	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV11	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	44	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV12	Sample 1064.G.CV12 : Whole intestine tissue, with food content.			4 days	nurse	0	G.CV12	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2050-01-01 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV12	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	46	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV209	Sample 1064.G.CV209 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV209	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV209	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	287	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV210	Sample 1064.G.CV210 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV210	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV210	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	289	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CV211	Sample 1064.G.CV211 : Whole intestine tissue, with food content.			1 days	worker	0	G.CV211	True	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	False	gut metagenome	GAZ:Puerto Rico	0	True	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	honey bee	Apis mellifera	G-CV211	7460	False	18.22	-65.99	XXQIITAXX	True	True	completed	291	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
