Extract Name	Protocol REF	Protocol REF	Assay Name
Extract 1064.G.CV345	DNA Sequencing	metagenomics analysis	1064.G.CV345 (OTU)
Extract 1064.G.CV346	DNA Sequencing	metagenomics analysis	1064.G.CV346 (OTU)
Extract 1064.G.CV43	DNA Sequencing	metagenomics analysis	1064.G.CV43 (OTU)
Extract 1064.G.CV44	DNA Sequencing	metagenomics analysis	1064.G.CV44 (OTU)
Extract 1064.G.CV45	DNA Sequencing	metagenomics analysis	1064.G.CV45 (OTU)
Extract 1064.G.CV46	DNA Sequencing	metagenomics analysis	1064.G.CV46 (OTU)
Extract 1064.G.CV47	DNA Sequencing	metagenomics analysis	1064.G.CV47 (OTU)
Extract 1064.G.CV48	DNA Sequencing	metagenomics analysis	1064.G.CV48 (OTU)
Extract 1064.G.CV72	DNA Sequencing	metagenomics analysis	1064.G.CV72 (OTU)
Extract 1064.G.CV73	DNA Sequencing	metagenomics analysis	1064.G.CV73 (OTU)
Extract 1064.G.CV74	DNA Sequencing	metagenomics analysis	1064.G.CV74 (OTU)
Extract 1064.G.CV75	DNA Sequencing	metagenomics analysis	1064.G.CV75 (OTU)
Extract 1064.G.CV76	DNA Sequencing	metagenomics analysis	1064.G.CV76 (OTU)
Extract 1064.G.CV77	DNA Sequencing	metagenomics analysis	1064.G.CV77 (OTU)
Extract 1064.G.CV90	DNA Sequencing	metagenomics analysis	1064.G.CV90 (OTU)
Extract 1064.G.CV91	DNA Sequencing	metagenomics analysis	1064.G.CV91 (OTU)
Extract 1064.G.CV92	DNA Sequencing	metagenomics analysis	1064.G.CV92 (OTU)
Extract 1064.G.CV93	DNA Sequencing	metagenomics analysis	1064.G.CV93 (OTU)
Extract 1064.G.CV94	DNA Sequencing	metagenomics analysis	1064.G.CV94 (OTU)
Extract 1064.G.CV95	DNA Sequencing	metagenomics analysis	1064.G.CV95 (OTU)
Extract 1064.G.GVR165	DNA Sequencing	metagenomics analysis	1064.G.GVR165 (OTU)
Extract 1064.G.GVR166	DNA Sequencing	metagenomics analysis	1064.G.GVR166 (OTU)
Extract 1064.G.GVR167	DNA Sequencing	metagenomics analysis	1064.G.GVR167 (OTU)
Extract 1064.G.GVR168	DNA Sequencing	metagenomics analysis	1064.G.GVR168 (OTU)
Extract 1064.G.GVR169	DNA Sequencing	metagenomics analysis	1064.G.GVR169 (OTU)
Extract 1064.G.GVR170	DNA Sequencing	metagenomics analysis	1064.G.GVR170 (OTU)
Extract 1064.H.CJV171	DNA Sequencing	metagenomics analysis	1064.H.CJV171 (OTU)
Extract 1064.H.CJV172	DNA Sequencing	metagenomics analysis	1064.H.CJV172 (OTU)
Extract 1064.H.CJV173	DNA Sequencing	metagenomics analysis	1064.H.CJV173 (OTU)
Extract 1064.H.CJV174	DNA Sequencing	metagenomics analysis	1064.H.CJV174 (OTU)
Extract 1064.H.CJV175	DNA Sequencing	metagenomics analysis	1064.H.CJV175 (OTU)
Extract 1064.H.CJV176	DNA Sequencing	metagenomics analysis	1064.H.CJV176 (OTU)
Extract 1064.H.CJV189	DNA Sequencing	metagenomics analysis	1064.H.CJV189 (OTU)
Extract 1064.H.CJV190	DNA Sequencing	metagenomics analysis	1064.H.CJV190 (OTU)
Extract 1064.H.CJV191	DNA Sequencing	metagenomics analysis	1064.H.CJV191 (OTU)
Extract 1064.H.CJV192	DNA Sequencing	metagenomics analysis	1064.H.CJV192 (OTU)
Extract 1064.H.CJV193	DNA Sequencing	metagenomics analysis	1064.H.CJV193 (OTU)
Extract 1064.H.CJV194	DNA Sequencing	metagenomics analysis	1064.H.CJV194 (OTU)
Extract 1064.H.CJV195	DNA Sequencing	metagenomics analysis	1064.H.CJV195 (OTU)
Extract 1064.H.CJV196	DNA Sequencing	metagenomics analysis	1064.H.CJV196 (OTU)
Extract 1064.H.CJV197	DNA Sequencing	metagenomics analysis	1064.H.CJV197 (OTU)
Extract 1064.H.CJV198	DNA Sequencing	metagenomics analysis	1064.H.CJV198 (OTU)
Extract 1064.H.CJV199	DNA Sequencing	metagenomics analysis	1064.H.CJV199 (OTU)
Extract 1064.H.CJV200	DNA Sequencing	metagenomics analysis	1064.H.CJV200 (OTU)
Extract 1064.H.CJV201	DNA Sequencing	metagenomics analysis	1064.H.CJV201 (OTU)
Extract 1064.H.CJV202	DNA Sequencing	metagenomics analysis	1064.H.CJV202 (OTU)
