Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Comment [environmental feature]	Comment[subject??]	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 39	host organism	GO	GO_0018995	Malawi	GAZ	http://purl.obolibrary.org/obo/GAZ_00001105	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Malawi CF04.010 10B	sample collection	EUSTDY0004-1.39	Sample Malawi CF04.010 10B	sample from organism	OBI	OBI_0000671	extraction	Extract Malawi CF04.010 10B	DNA extract	OBI	OBI_0001051
Subject 40	host organism	GO	GO_0018995	Mali	GAZ	http://purl.obolibrary.org/obo/GAZ_00000584	A. Djimde/C. Plowe	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Mali PS189	sample collection	EUSTDY0004-1.40	Sample Mali PS189	sample from organism	OBI	OBI_0000671	extraction	Extract Mali PS189	DNA extract	OBI	OBI_0001051
Subject 41	host organism	GO	GO_0018995	Papua New Guinea	GAZ	http://purl.obolibrary.org/obo/GAZ_00003922	Karen Day	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Muz51.1	sample collection	EUSTDY0004-1.41	Sample Muz51.1	sample from organism	OBI	OBI_0000671	extraction	Extract Muz51.1	DNA extract	OBI	OBI_0001051
Subject 42	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum PR145	sample collection	EUSTDY0004-1.42	Sample PR145	sample from organism	OBI	OBI_0000671	extraction	Extract PR145	DNA extract	OBI	OBI_0001051
Subject 43	host organism	GO	GO_0018995	India	GAZ	http://purl.obolibrary.org/obo/GAZ_00002839	A. Dash/C.Chitnis	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum RAJ116	sample collection	EUSTDY0004-1.43	Sample RAJ116	sample from organism	OBI	OBI_0000671	extraction	Extract RAJ116	DNA extract	OBI	OBI_0001051
Subject 44	host organism	GO	GO_0018995	Nigeria	GAZ	http://purl.obolibrary.org/obo/GAZ_00000912	Christian Happi	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum RS1	sample collection	EUSTDY0004-1.44	Sample RS1	sample from organism	OBI	OBI_0000671	extraction	Extract RS1	DNA extract	OBI	OBI_0001051
Subject 45	host organism	GO	GO_0018995	Nigeria	GAZ	http://purl.obolibrary.org/obo/GAZ_00000912	Christian Happi	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum SA2	sample collection	EUSTDY0004-1.45	Sample SA2	sample from organism	OBI	OBI_0000671	extraction	Extract SA2	DNA extract	OBI	OBI_0001051
Subject 46	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P05.02	sample collection	EUSTDY0004-1.46	Sample Senegal P05.02	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P05.02	DNA extract	OBI	OBI_0001051
Subject 47	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P08.04	sample collection	EUSTDY0004-1.47	Sample Senegal P08.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P08.04	DNA extract	OBI	OBI_0001051
Subject 48	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P09.04	sample collection	EUSTDY0004-1.48	Sample Senegal P09.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P09.04	DNA extract	OBI	OBI_0001051
Subject 49	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P11.02	sample collection	EUSTDY0004-1.49	Sample Senegal P11.02	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P11.02	DNA extract	OBI	OBI_0001051
Subject 50	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P137.05	sample collection	EUSTDY0004-1.50	Sample Senegal P137.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P137.05	DNA extract	OBI	OBI_0001051
Subject 51	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P19.04	sample collection	EUSTDY0004-1.51	Sample Senegal P19.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P19.04	DNA extract	OBI	OBI_0001051
Subject 52	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P26.04	sample collection	EUSTDY0004-1.52	Sample Senegal P26.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P26.04	DNA extract	OBI	OBI_0001051
Subject 53	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P27.02	sample collection	EUSTDY0004-1.53	Sample Senegal P27.02	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P27.02	DNA extract	OBI	OBI_0001051
Subject 54	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P35.04	sample collection	EUSTDY0004-1.54	Sample Senegal P35.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P35.04	DNA extract	OBI	OBI_0001051
Subject 55	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P60.02	sample collection	EUSTDY0004-1.55	Sample Senegal P60.02	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P60.02	DNA extract	OBI	OBI_0001051
Subject 56	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Souleyman Mboup	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal P90.05	sample collection	EUSTDY0004-1.56	Sample Senegal P90.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal P90.05	DNA extract	OBI	OBI_0001051
Subject 57	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal Thi15.04	sample collection	EUSTDY0004-1.57	Sample Senegal Thi15.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal Thi15.04	DNA extract	OBI	OBI_0001051
Subject 58	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal Thi26.04	sample collection	EUSTDY0004-1.58	Sample Senegal Thi26.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal Thi26.04	DNA extract	OBI	OBI_0001051
Subject 59	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	M. Duraisingh	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal Thi28.04	sample collection	EUSTDY0004-1.59	Sample Senegal Thi28.04	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal Thi28.04	DNA extract	OBI	OBI_0001051
Subject 60	host organism	GO	GO_0018995	Senegal	GAZ	http://purl.obolibrary.org/obo/GAZ_00000913	Dan Milner	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum Senegal V42.05	sample collection	EUSTDY0004-1.60	Sample Senegal V42.05	sample from organism	OBI	OBI_0000671	extraction	Extract Senegal V42.05	DNA extract	OBI	OBI_0001051
Subject 61	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-818	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum T2/C6	sample collection	EUSTDY0004-1.61	Sample T2/C6	sample from organism	OBI	OBI_0000671	extraction	Extract T2/C6	DNA extract	OBI	OBI_0001051
Subject 62	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TD203	sample collection	EUSTDY0004-1.62	Sample TD203	sample from organism	OBI	OBI_0000671	extraction	Extract TD203	DNA extract	OBI	OBI_0001051
Subject 63	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TD257	sample collection	EUSTDY0004-1.63	Sample TD257	sample from organism	OBI	OBI_0000671	extraction	Extract TD257	DNA extract	OBI	OBI_0001051
Subject 64	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM327	sample collection	EUSTDY0004-1.64	Sample TM327	sample from organism	OBI	OBI_0000671	extraction	Extract TM327	DNA extract	OBI	OBI_0001051
Subject 65	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	S. Thaithong/D. Kyle	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM345	sample collection	EUSTDY0004-1.65	Sample TM345	sample from organism	OBI	OBI_0000671	extraction	Extract TM345	DNA extract	OBI	OBI_0001051
Subject 66	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-202	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM90C2A	sample collection	EUSTDY0004-1.66	Sample TM90C2A	sample from organism	OBI	OBI_0000671	extraction	Extract TM90C2A	DNA extract	OBI	OBI_0001051
Subject 67	host organism	GO	GO_0018995	Thailand	GAZ	http://purl.obolibrary.org/obo/GAZ_00003744	MRA-205	S	human	NCBITaxon	NCBITaxon_9606	Plasmodium falciparum TM90C6B	sample collection	EUSTDY0004-1.67	Sample TM90C6B	sample from organism	OBI	OBI_0000671	extraction	Extract TM90C6B	DNA extract	OBI	OBI_0001051
